,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.2276,0.2256,0.2366,0.2256,0.2366,0,0.2556,0.2086,0.1936,0.2556,0.2286,0
C,0.1026,0.0756,0.0816,0.0766,0.0916,0,0.2336,0.2116,0.2626,0.2416,0.2536,0
D,0.0196,0.0196,0.0216,0.0156,0.0186,0,0.2346,0.2266,0.2146,0.1996,0.2546,0
E,0.0226,0.0116,0.0116,0.0146,0.0176,0,0.1126,0.1236,0.1076,0.1426,0.1206,0
F,-0.0034,-0.0054,-0.0044,-0.0024,-0.0044,0,-0.0034,-0.0024,-0.0054,-0.0024,-0.0014,0
G,-0.000399999999999998,-0.0014,-0.0024,0.0016,0.000599999999999996,0,0.000599999999999996,-0.0014,-0.0024,-0.0014,-0.0024,0
H,0.0036,0.0026,0.0066,0.0066,0.0026,0,0,0,0,0,0,0
